user_id,date,risk_score,prediction,dominant_emotion,emotion_score,screen_time,unlocks,sleep_hours,steps_last_24h,habit_id,category,difficulty,time_min,dopamine_level,recommended_for_state,indoor,required_device,popularity_prior,label
41,58:27.7,0.710719438,1,Anger,0.8,261,241,5,3015,141,physical,1,3,medium,"['morning_energy', 'overwhelmed']",TRUE,none,0.8,1
42,58:27.7,0.716461093,1,Disgust,0.8,197,145,3.4,3187,207,spiritual,3,2,low,"['low_mood', 'anxious', 'angry']",TRUE,none,0.3,1
43,58:27.7,0.223998659,0,Amusement,-0.8,314,42,6.3,2804,218,physical,3,10,low,['morning_energy'],TRUE,none,0.3,1
44,58:27.7,0.275166706,0,Gratitude,-0.8,132,38,3.2,3630,72,spiritual,1,1,medium,"['low_mood', 'morning_energy']",TRUE,phone,0.7,1
45,58:27.7,0.296756348,0,Relief,-0.5,174,66,5.7,2162,288,mental,1,1,low,"['anxious', 'stress']",TRUE,none,0.5,1
46,58:27.7,0.388172064,0,Excitement,-0.6,395,189,4.9,444,231,physical,1,5,high,"['low_mood', 'tired', 'morning_energy']",TRUE,phone,0.7,1
47,58:27.7,0.281602185,0,Joy,-0.8,182,135,4.7,386,238,spiritual,3,5,low,"['anxious', 'overwhelmed']",TRUE,none,0.2,0
48,58:27.7,0.584096103,1,Neutral,0,451,133,3,2411,70,physical,1,1,low,"['focus_mode', 'tired']",TRUE,none,0.6,1
49,58:27.7,0.401387235,0,Pride,-0.6,348,262,4.8,624,84,physical,3,20,medium,"['morning_energy', 'tired']",TRUE,none,0.4,0
50,58:27.7,0.754305833,1,Remorse,0.9,514,267,5.2,20000,159,physical,2,3,medium,"['tired', 'morning_energy']",TRUE,none,0.7,1
51,58:27.7,0.554418218,1,Disgust,0.8,112,99,9.4,2628,277,physical,1,2,medium,"['tired', 'focus_mode']",TRUE,none,0.6,1
52,58:27.7,0.3689201,0,Excitement,-0.6,562,27,3.6,18395,99,physical,1,1,medium,"['tired', 'focus_mode', 'high_screen_time']",TRUE,none,0.9,1
53,58:27.7,0.649189192,1,Sadness,0.9,317,228,8.4,844,30,spiritual,4,15,low,"['low_mood', 'overwhelmed', 'anxious']",TRUE,none,0.1,0
54,58:27.7,0.236601095,0,Gratitude,-0.8,518,187,8.1,6177,220,physical,4,30,medium,"['morning_energy', 'stress']",FALSE,none,0.3,0
55,58:27.7,0.530118297,1,Realization,0.1,297,218,5.3,2367,61,mental,3,10,low,"['overwhelmed', 'focus_mode']",TRUE,none,0.5,1
56,58:27.7,0.133948274,0,Love,-0.8,108,24,9.3,722,45,spiritual,1,5,medium,"['stress', 'overwhelmed', 'low_mood']",FALSE,none,0.5,0
57,58:27.7,0.257207893,0,Joy,-0.8,405,244,7.6,2957,265,physical,3,15,low,"['morning_energy', 'high_screen_time']",TRUE,none,0.4,1
58,58:27.7,0.560535647,1,Confusion,0.2,180,144,3.7,1321,164,spiritual,1,1,high,"['low_mood', 'stress', 'anxious']",TRUE,none,0.7,0
59,58:27.7,0.683843582,1,Sadness,0.9,44,218,4.4,7096,183,mental,1,1,medium,"['low_mood', 'stress']",TRUE,none,0.7,1
60,58:27.7,0.329617305,0,Relief,-0.5,130,220,5.8,1895,97,physical,2,15,medium,"['tired', 'focus_mode']",FALSE,phone,0.6,0
61,58:27.7,0.266647473,0,Joy,-0.8,417,164,9.8,1135,55,physical,1,3,high,"['low_mood', 'morning_energy', 'tired']",TRUE,phone,0.95,1
62,58:27.7,0.201187491,0,Joy,-0.8,64,49,4.9,6460,299,spiritual,2,10,medium,['focus_mode'],TRUE,laptop,0.7,1
63,58:27.7,0.278554931,0,Love,-0.8,380,282,6,15249,260,mental,2,10,medium,['angry'],TRUE,none,0.3,0
64,58:27.7,0.441416337,0,Neutral,0,312,169,6.9,2535,229,mental,2,3,low,"['high_screen_time', 'focus_mode', 'anxious']",TRUE,phone,0.4,1
65,58:27.7,0.759718699,1,Disappointment,0.9,554,153,5.5,2947,186,physical,1,5,medium,"['morning_energy', 'low_mood']",FALSE,none,0.7,1
66,58:27.7,0.188661823,0,Love,-0.8,194,200,7.9,2146,54,physical,2,15,low,"['night_routine', 'tired']",TRUE,none,0.6,1
67,58:27.7,0.27147828,0,Joy,-0.8,457,231,7.6,1240,20,mental,3,15,low,"['stress', 'anxious', 'night_routine']",TRUE,none,0.3,0
68,58:27.7,0.593251286,1,Curiosity,0.1,287,251,3.4,2926,25,physical,2,15,medium,"['stress', 'overwhelmed', 'tired']",FALSE,none,0.6,1
69,58:27.7,0.506339555,1,Curiosity,0.1,472,95,6,3566,122,mental,3,10,low,"['high_screen_time', 'overwhelmed']",TRUE,phone,0.4,1
70,58:27.7,0.37617541,0,Neutral,0,149,189,8.5,687,195,spiritual,1,5,low,"['night_routine', 'stress']",TRUE,none,0.7,0
71,58:27.7,0.206286931,0,Excitement,-0.6,98,89,7.5,714,84,physical,3,20,medium,"['morning_energy', 'tired']",TRUE,none,0.4,1
72,58:27.7,0.285625864,0,Excitement,-0.6,303,58,6.2,1187,220,physical,4,30,medium,"['morning_energy', 'stress']",FALSE,none,0.3,0
73,58:27.7,0.51035609,1,Confusion,0.2,589,163,8.1,1177,210,spiritual,1,3,medium,"['stress', 'tired', 'night_routine']",TRUE,none,0.7,1
74,58:27.7,0.230638037,0,Joy,-0.8,351,188,7.7,1496,243,mental,1,1,high,"['angry', 'stress']",TRUE,none,0.3,0
75,58:27.7,0.250473937,0,Desire,-0.6,391,252,8.9,16751,244,mental,2,5,medium,"['overwhelmed', 'low_mood']",TRUE,none,0.6,0
76,58:27.7,0.358547893,0,Admiration,-0.8,599,18,3.4,4221,218,physical,3,10,low,['morning_energy'],TRUE,none,0.3,1
77,58:27.7,0.305661615,0,Caring,-0.8,528,201,6.7,2476,169,mental,1,2,high,"['focus_mode', 'low_mood']",TRUE,none,0.7,0
78,58:27.7,0.550868521,1,Disapproval,0.7,233,99,7.6,3222,81,physical,1,10,medium,"['morning_energy', 'low_mood', 'tired']",FALSE,none,0.7,1
79,58:27.7,0.264740715,0,Desire,-0.6,535,11,7.7,2871,84,physical,3,20,medium,"['morning_energy', 'tired']",TRUE,none,0.4,0
80,58:27.7,0.141485798,0,Admiration,-0.8,138,12,9.5,2204,214,mental,1,1,low,['overwhelmed'],TRUE,none,0.5,1
81,58:27.7,0.329909433,0,Pride,-0.6,294,204,5.9,2744,119,spiritual,3,2,high,['low_mood'],FALSE,none,0.3,0
82,58:27.7,0.681574769,1,Remorse,0.9,417,274,8.6,1681,201,physical,1,1,medium,"['tired', 'stress', 'focus_mode']",TRUE,none,0.8,1
83,58:27.7,0.512576312,1,Confusion,0.2,445,277,8.5,1966,241,mental,3,5,low,"['low_mood', 'anxious', 'angry']",TRUE,none,0.3,0
84,58:27.7,0.387520661,0,Admiration,-0.8,597,252,4.9,2556,231,physical,1,5,high,"['low_mood', 'tired', 'morning_energy']",TRUE,phone,0.7,1
85,58:27.7,0.661220338,1,Nervousness,0.6,341,174,4.9,3239,263,physical,4,30,high,"['stress', 'low_mood']",FALSE,none,0.2,0
86,58:27.7,0.287697562,0,Pride,-0.6,281,222,9.6,2625,152,mental,1,5,medium,"['overwhelmed', 'low_mood']",TRUE,none,0.8,0
87,58:27.7,0.731853907,1,Anger,0.8,417,204,5.3,1263,85,physical,1,2,medium,"['low_mood', 'anxious', 'morning_energy']",TRUE,none,0.5,1
88,58:27.7,0.433281193,0,Realization,0.1,232,65,5.9,7338,8,physical,2,10,medium,"['stress', 'low_mood', 'focus_mode', 'tired']",FALSE,none,0.7,0
89,58:27.7,0.17794458,0,Caring,-0.8,139,114,7.2,2180,196,mental,1,1,medium,"['stress', 'anxious']",TRUE,none,0.7,1
90,58:27.7,0.472087296,0,Neutral,0,111,222,5.2,1331,149,spiritual,3,10,low,"['low_mood', 'anxious', 'overwhelmed']",TRUE,none,0.2,1
91,58:27.7,0.378962927,0,Curiosity,0.1,222,163,7.6,20000,68,physical,5,45,medium,"['morning_energy', 'stress']",FALSE,none,0.2,0
92,58:27.7,0.495534216,0,Neutral,0,168,225,5,355,198,mental,3,3,low,"['anxious', 'stress']",TRUE,none,0.3,0
93,58:27.7,0.548875581,1,Annoyance,0.6,250,55,6.7,3174,125,mental,1,1,medium,"['focus_mode', 'tired']",TRUE,none,0.8,1
94,58:27.7,0.627886126,1,Disgust,0.8,218,190,6.9,2216,147,spiritual,1,10,high,"['low_mood', 'morning_energy']",TRUE,phone,0.9,1
95,58:27.7,0.526252887,1,Embarrassment,0.7,369,69,8.6,10911,225,spiritual,1,1,low,"['high_screen_time', 'night_routine']",TRUE,phone,0.7,1
96,58:27.7,0.239937942,0,Amusement,-0.8,507,253,9,9713,74,spiritual,1,2,medium,"['low_mood', 'overwhelmed']",TRUE,none,0.6,0
97,58:27.7,0.276293822,0,Optimism,-0.7,451,235,7.8,4451,156,physical,1,2,medium,"['tired', 'stress', 'high_screen_time']",TRUE,none,0.8,1
98,58:27.7,0.27167566,0,Optimism,-0.7,226,41,4.9,3330,202,physical,1,3,medium,"['tired', 'focus_mode']",TRUE,none,0.6,0
99,58:27.7,0.255354407,0,Gratitude,-0.8,227,184,6.2,1205,22,physical,3,3,high,"['tired', 'morning_energy']",TRUE,none,0.5,1
100,58:27.7,0.28399677,0,Relief,-0.5,353,103,6.9,8413,20,mental,3,15,low,"['stress', 'anxious', 'night_routine']",TRUE,none,0.3,1
101,58:27.7,0.336848928,0,Excitement,-0.6,289,139,5.1,2304,5,mental,2,5,medium,"['overwhelmed', 'focus_mode', 'morning_energy']",TRUE,none,0.7,0
102,58:27.7,0.581168826,1,Anger,0.8,228,160,9.6,9668,110,mental,3,5,low,['angry'],TRUE,none,0.3,0
103,58:27.7,0.705240421,1,Disapproval,0.7,166,261,3.8,3489,285,spiritual,3,3,low,"['low_mood', 'stress', 'overwhelmed']",TRUE,none,0.3,1
104,58:27.7,0.634882872,1,Remorse,0.9,375,148,8.8,1871,214,mental,1,1,low,['overwhelmed'],TRUE,none,0.5,1
105,58:27.7,0.341005862,0,Admiration,-0.8,529,280,6,5356,271,mental,2,5,low,"['focus_mode', 'low_mood', 'overwhelmed']",TRUE,none,0.5,0
106,58:27.7,0.441562731,0,Confusion,0.2,204,121,9.6,2539,13,spiritual,2,15,low,"['night_routine', 'stress', 'high_screen_time']",TRUE,none,0.65,0
107,58:27.7,0.344805324,0,Excitement,-0.6,518,167,6.7,2146,187,physical,1,1,low,"['tired', 'anxious']",TRUE,none,0.5,1
108,58:27.7,0.460319761,0,Confusion,0.2,498,66,8.1,2659,116,spiritual,3,15,low,"['low_mood', 'anxious', 'overwhelmed', 'night_routine']",TRUE,none,0.3,1
109,58:27.7,0.205123778,0,Amusement,-0.8,345,199,8.1,5280,148,spiritual,1,5,low,"['stress', 'anxious', 'overwhelmed', 'night_routine']",TRUE,phone,0.7,1
110,58:27.7,0.58185388,1,Anger,0.8,409,42,7.9,4394,146,spiritual,2,2,low,"['stress', 'anxious']",TRUE,none,0.5,1
111,58:27.7,0.348237841,0,Joy,-0.8,471,10,3.3,1263,20,mental,3,15,low,"['stress', 'anxious', 'night_routine']",TRUE,none,0.3,1
112,58:27.7,0.380631238,0,Curiosity,0.1,162,140,7.4,9503,252,spiritual,4,15,low,"['anxious', 'stress', 'focus_mode']",TRUE,none,0.1,1
113,58:27.7,0.469222286,0,Annoyance,0.6,56,18,9.3,1103,211,mental,4,10,low,"['stress', 'anxious', 'angry']",TRUE,none,0.1,0
114,58:27.7,0.230586446,0,Relief,-0.5,286,41,8.9,2774,148,spiritual,1,5,low,"['stress', 'anxious', 'overwhelmed', 'night_routine']",TRUE,phone,0.7,1
115,58:27.7,0.680435439,1,Sadness,0.9,592,86,9.4,1841,45,spiritual,1,5,medium,"['stress', 'overwhelmed', 'low_mood']",FALSE,none,0.5,1
116,58:27.7,0.604838654,1,Annoyance,0.6,385,104,6.1,5300,108,mental,2,5,medium,"['focus_mode', 'tired']",TRUE,phone,0.6,1
117,58:27.7,0.338924932,0,Relief,-0.5,265,194,6.2,1934,11,spiritual,2,5,low,"['low_mood', 'anxious', 'night_routine']",TRUE,none,0.6,1
118,58:27.7,0.578697558,1,Nervousness,0.6,388,286,8.7,8173,219,physical,1,5,medium,"['night_routine', 'stress', 'anxious']",TRUE,none,0.6,1
119,58:27.7,0.615832105,1,Fear,0.7,300,32,5.1,6869,72,spiritual,1,1,medium,"['low_mood', 'morning_energy']",TRUE,phone,0.7,1
120,58:27.7,0.247868997,0,Amusement,-0.8,578,126,8.4,1631,271,mental,2,5,low,"['focus_mode', 'low_mood', 'overwhelmed']",TRUE,none,0.5,1
121,58:27.7,0.276188013,0,Optimism,-0.7,539,39,6.5,6818,203,physical,2,5,high,"['tired', 'morning_energy']",TRUE,none,0.5,0
122,58:27.7,0.535103192,1,Confusion,0.2,468,83,4.9,10566,260,mental,2,10,medium,['angry'],TRUE,none,0.3,1
123,58:27.7,0.350618925,0,Relief,-0.5,500,239,7.5,4263,192,spiritual,2,2,low,['low_mood'],TRUE,none,0.5,1
124,58:27.7,0.380459486,0,Excitement,-0.6,340,272,5.1,3988,240,spiritual,2,10,low,"['high_screen_time', 'night_routine']",TRUE,none,0.5,1
125,58:27.7,0.534438224,1,Embarrassment,0.7,246,48,7.7,3388,26,spiritual,1,2,high,"['low_mood', 'anxious']",TRUE,phone,0.9,1
126,58:27.7,0.644714967,1,Sadness,0.9,341,113,7,4747,201,physical,1,1,medium,"['tired', 'stress', 'focus_mode']",TRUE,none,0.8,1
127,58:27.7,0.223239477,0,Optimism,-0.7,259,203,8.1,2375,167,mental,2,5,low,"['overwhelmed', 'focus_mode']",TRUE,none,0.6,1
128,58:27.7,0.66730105,1,Sadness,0.9,369,152,7.2,1578,105,spiritual,2,1,low,"['high_screen_time', 'focus_mode', 'night_routine']",TRUE,phone,0.3,1
129,58:27.7,0.644196307,1,Anger,0.8,524,211,8.3,6366,23,physical,4,30,medium,"['morning_energy', 'stress']",FALSE,none,0.3,1
130,58:27.7,0.224926534,0,Love,-0.8,193,216,10,5656,238,spiritual,3,5,low,"['anxious', 'overwhelmed']",TRUE,none,0.2,0
131,58:27.7,0.262919503,0,Relief,-0.5,145,43,6.3,2510,158,physical,3,30,low,"['stress', 'morning_energy', 'night_routine']",TRUE,none,0.4,1
132,58:27.7,0.441032827,0,Surprise,0.1,100,300,7.2,2972,15,spiritual,1,10,high,"['stress', 'anxious', 'angry', 'night_routine']",TRUE,phone,0.9,1
133,58:27.7,0.717344069,1,Anger,0.8,82,270,3.7,3457,112,physical,3,1,medium,"['tired', 'focus_mode']",TRUE,none,0.4,0
134,58:27.7,0.588926929,1,Anger,0.8,371,92,9.7,12086,149,spiritual,3,10,low,"['low_mood', 'anxious', 'overwhelmed']",TRUE,none,0.2,0
135,58:27.7,0.502390672,1,Surprise,0.1,361,272,7.2,1063,67,physical,2,10,medium,['morning_energy'],TRUE,none,0.7,1
136,58:27.7,0.314810685,0,Caring,-0.8,108,247,3.7,3881,271,mental,2,5,low,"['focus_mode', 'low_mood', 'overwhelmed']",TRUE,none,0.5,1
137,58:27.7,0.637784814,1,Disgust,0.8,136,181,5.8,3691,76,mental,2,5,low,"['stress', 'anxious']",FALSE,none,0.4,1
138,58:27.7,0.291736969,0,Joy,-0.8,111,195,3.6,6937,191,spiritual,1,10,low,"['stress', 'anxious', 'night_routine']",TRUE,phone,0.6,1
139,58:27.7,0.254377574,0,Excitement,-0.6,231,51,6.5,2072,133,spiritual,2,5,low,"['anxious', 'low_mood']",TRUE,none,0.4,1
140,58:27.7,0.400591391,0,Excitement,-0.6,421,237,4.9,2370,44,spiritual,1,10,medium,"['stress', 'anxious', 'low_mood']",TRUE,none,0.4,1
141,58:27.7,0.296282024,0,Amusement,-0.8,259,283,5.4,6628,157,physical,1,2,medium,"['tired', 'focus_mode']",TRUE,none,0.7,1
142,58:27.7,0.723780417,1,Anger,0.8,49,271,3.5,1483,46,mental,3,10,low,"['overwhelmed', 'anxious']",TRUE,none,0.3,1
143,58:27.7,0.182678336,0,Amusement,-0.8,352,141,8.3,7157,31,mental,2,3,medium,"['stress', 'anxious', 'overwhelmed']",TRUE,none,0.6,0
144,58:27.7,0.225272335,0,Amusement,-0.8,497,106,8.9,1727,299,spiritual,2,10,medium,['focus_mode'],TRUE,laptop,0.7,0
145,58:27.7,0.311412992,0,Admiration,-0.8,339,62,4,1723,257,mental,1,1,medium,"['low_mood', 'overwhelmed']",TRUE,none,0.7,1
146,58:27.7,0.269007637,0,Admiration,-0.8,501,286,8.3,4157,11,spiritual,2,5,low,"['low_mood', 'anxious', 'night_routine']",TRUE,none,0.6,1
147,58:27.7,0.67484858,1,Fear,0.7,103,203,3.9,2578,156,physical,1,2,medium,"['tired', 'stress', 'high_screen_time']",TRUE,none,0.8,1
148,58:27.7,0.578658289,1,Neutral,0,465,182,3.6,3728,177,spiritual,2,5,low,['low_mood'],TRUE,none,0.4,1
149,58:27.7,0.752459302,1,Fear,0.7,491,202,3.8,5519,104,spiritual,1,3,low,"['stress', 'overwhelmed', 'anxious']",TRUE,none,0.6,1
150,58:27.7,0.299380879,0,Gratitude,-0.8,179,154,3.2,8887,169,mental,1,2,high,"['focus_mode', 'low_mood']",TRUE,none,0.7,1
151,58:27.7,0.641268894,1,Nervousness,0.6,344,154,5.6,1365,137,mental,4,30,low,"['focus_mode', 'morning_energy', 'overwhelmed']",TRUE,laptop,0.3,0
152,58:27.7,0.259894106,0,Love,-0.8,279,285,9.7,2806,13,spiritual,2,15,low,"['night_routine', 'stress', 'high_screen_time']",TRUE,none,0.65,1
153,58:27.7,0.43910531,0,Neutral,0,303,269,9.3,3190,279,physical,2,15,medium,"['stress', 'high_screen_time', 'focus_mode']",TRUE,none,0.6,0
154,58:27.7,0.702931808,1,Disappointment,0.9,511,24,5.3,7166,176,spiritual,2,10,low,"['stress', 'anxious', 'overwhelmed', 'night_routine']",TRUE,phone,0.6,1
155,58:27.7,0.187565246,0,Amusement,-0.8,111,292,8.6,2823,90,spiritual,1,1,low,"['morning_energy', 'overwhelmed', 'low_mood']",TRUE,none,0.7,1
156,58:27.7,0.609532201,1,Disgust,0.8,261,225,8.8,1203,78,mental,4,5,low,"['anxious', 'stress']",TRUE,none,0.2,0
157,58:27.7,0.30897539,0,Love,-0.8,60,285,4.1,2357,10,physical,3,5,high,"['tired', 'focus_mode']",TRUE,none,0.5,1
158,58:27.7,0.260177333,0,Gratitude,-0.8,113,117,4.6,1427,79,mental,2,15,low,"['focus_mode', 'overwhelmed']",TRUE,none,0.5,0
159,58:27.7,0.584331045,1,Disgust,0.8,71,265,7.8,2186,88,spiritual,3,15,low,"['overwhelmed', 'stress', 'anxious']",TRUE,none,0.3,0
160,58:27.7,0.656172238,1,Fear,0.7,280,88,4.8,1813,119,spiritual,3,2,high,['low_mood'],FALSE,none,0.3,1
161,58:27.7,0.241443364,0,Joy,-0.8,539,27,9.6,1770,232,physical,3,1,high,"['tired', 'focus_mode']",TRUE,none,0.2,0
162,58:27.7,0.717591373,1,Fear,0.7,416,222,4.6,5468,83,physical,4,15,high,"['morning_energy', 'stress']",TRUE,none,0.3,0
163,58:27.7,0.640967487,1,Grief,0.9,295,218,8.6,958,174,physical,3,5,medium,['morning_energy'],TRUE,none,0.3,0
164,58:27.7,0.512663858,1,Disappointment,0.9,51,20,8.3,5326,130,physical,2,5,low,"['night_routine', 'morning_energy']",TRUE,none,0.5,0
165,58:27.7,0.597502036,1,Annoyance,0.6,436,155,6.5,10660,163,spiritual,2,30,medium,"['stress', 'overwhelmed', 'low_mood']",TRUE,none,0.5,0
166,58:27.7,0.640691651,1,Sadness,0.9,105,44,4.8,5465,168,mental,1,2,low,"['stress', 'overwhelmed']",TRUE,none,0.5,1
167,58:27.7,0.422434764,0,Desire,-0.6,516,64,3.2,2437,64,mental,1,1,low,"['focus_mode', 'high_screen_time', 'anxious']",TRUE,phone,0.6,1
168,58:27.7,0.564066818,1,Anger,0.8,380,37,8.8,5726,86,spiritual,1,1,low,"['night_routine', 'high_screen_time']",TRUE,none,0.6,1
169,58:27.7,0.281432022,0,Joy,-0.8,269,173,5.6,1030,287,mental,2,5,low,"['focus_mode', 'overwhelmed']",TRUE,none,0.5,0
170,58:27.7,0.649783585,1,Remorse,0.9,80,118,5.4,2359,246,physical,1,1,low,"['stress', 'anxious']",TRUE,none,0.7,1
171,58:27.7,0.360993633,0,Approval,-0.8,505,33,3.3,1652,96,physical,1,3,medium,['tired'],TRUE,none,0.9,1
172,58:27.7,0.755699751,1,Fear,0.7,554,170,4.1,3515,291,physical,2,20,low,"['high_screen_time', 'stress', 'tired']",TRUE,none,0.5,1
173,58:27.7,0.309717615,0,Excitement,-0.6,186,174,5.6,1977,35,mental,1,2,medium,"['focus_mode', 'overwhelmed', 'high_screen_time']",TRUE,laptop,0.7,1
174,58:27.7,0.652587171,1,Sadness,0.9,228,281,7.8,1191,178,spiritual,5,10,low,"['angry', 'low_mood', 'stress']",TRUE,none,0.05,0
175,58:27.7,0.590928486,1,Confusion,0.2,460,121,4.5,1543,287,mental,2,5,low,"['focus_mode', 'overwhelmed']",TRUE,none,0.5,0
176,58:27.7,0.523785224,1,Confusion,0.2,147,82,4.1,1154,234,physical,2,10,medium,"['overwhelmed', 'night_routine']",TRUE,none,0.7,1
177,58:27.7,0.486677044,0,Confusion,0.2,104,59,4.8,1028,213,mental,2,10,medium,['focus_mode'],TRUE,laptop,0.6,1
